"scenario_a","scenario_b","outcome","label","n_a","n_b","mean_a","mean_b","diff","diff_pct","ci_low","ci_high","t_stat","df","p_raw","cohens_d","d_magnitude","p_adj_holm","sig_holm"
"RandomBuddy","BuddyProgram","cross_group_tie_ratio","Cross-group tie ratio",300,300,0.52533171517413,0.516700892610485,0.00863082256364445,1.67037113484354,-0.00165427806595376,0.0189159231932427,1.6480594861048,597.140067794511,0.099866486850998,0.134563493557007,"negligible",1,FALSE
"RandomBuddy","BuddyProgram","female_dropout_rate","Female dropout rate (%)",300,300,50.754795511134,53.0893664075449,-2.33457089641089,-4.39743597331594,-3.53799934781244,-1.13114244500933,-3.80991079332949,597.970914665927,0.000153394138985791,-0.311077913639317,"small",0.0035280651966732,TRUE
"RandomBuddy","BuddyProgram","male_dropout_rate","Male dropout rate (%)",300,300,47.9385606114231,49.9895184080333,-2.05095779661018,-4.10277566562951,-3.2770362606292,-0.824879332591154,-3.28523771146078,597.750309582024,0.00107857308295575,-0.268238535894256,"small",0.0226500347420707,TRUE
"CentralityBuddy","BuddyProgram","retention_rate","Retention rate (%)",300,300,50.5566666666667,48.4633333333333,2.09333333333333,4.3194167411789,1.16008734706863,3.02657931959804,4.40526884523872,596.518382563128,1.25256619990611e-05,0.359688695020485,"small",0.000325667211975589,TRUE
"CentralityBuddy","BuddyProgram","avg_motivation","Mean motivation",300,300,0.717696357716054,0.717126132239042,0.000570225477012576,0.0795153671547561,-0.00688479564907492,0.00802524660310007,0.150220538745174,595.56256798927,0.88064148266425,0.0122654556270555,"negligible",1,FALSE
"CentralityBuddy","BuddyProgram","avg_language_cefr","Language CEFR gain",300,300,1.05379481174878,1.04476490155953,0.00902991018925325,0.864300683893023,-0.0116506862555085,0.029710506634015,0.857534693427273,595.729618091259,0.391494298413477,0.0700174145210274,"negligible",1,FALSE
"CentralityBuddy","BuddyProgram","cross_group_tie_ratio","Cross-group tie ratio",300,300,0.523308756142202,0.516700892610485,0.00660786353171672,1.278856612446,-0.00327828525026947,0.0164940123137029,1.31272973521531,589.019947208003,0.18978526953821,0.107183934048546,"negligible",1,FALSE
"CentralityBuddy","BuddyProgram","female_dropout_rate","Female dropout rate (%)",300,300,50.8232203471894,53.0893664075449,-2.26614606035553,-4.26854983154117,-3.44542293225463,-1.08686918845643,-3.77399320797335,597.304581971793,0.000176683613717649,-0.30814525507547,"small",0.00388703950178828,TRUE
"CentralityBuddy","BuddyProgram","male_dropout_rate","Male dropout rate (%)",300,300,48.0481985384163,49.9895184080333,-1.94131986961698,-3.88345383480432,-3.1955500388526,-0.687089700381365,-3.03984489803836,595.567864334119,0.00247090053748825,-0.248202296579891,"small",0.049418010749765,TRUE
"CentralityBuddy","RandomBuddy","retention_rate","Retention rate (%)",300,300,50.5566666666667,50.63,-0.0733333333333377,-0.144841661728891,-1.03071315952001,0.884046492853334,-0.150433697942124,597.996455853368,0.880473183598071,-0.0122828600026058,"negligible",1,FALSE
"CentralityBuddy","RandomBuddy","avg_motivation","Mean motivation",300,300,0.717696357716054,0.719894193863456,-0.00219783614740154,-0.30529988519652,-0.00961259017982119,0.0052169178850181,-0.582142199831765,596.275120812004,0.560690939557445,-0.0475317115776381,"negligible",1,FALSE
"CentralityBuddy","RandomBuddy","avg_language_cefr","Language CEFR gain",300,300,1.05379481174878,1.04639124198777,0.00740356976101286,0.70753361304408,-0.0122048432377017,0.0270119827597274,0.741529407668239,596.861665389882,0.458664171807625,0.0605456226018479,"negligible",1,FALSE
"CentralityBuddy","RandomBuddy","cross_group_tie_ratio","Cross-group tie ratio",300,300,0.523308756142202,0.52533171517413,-0.00202295903192773,-0.385082220146786,-0.0117037860930891,0.00765786802923359,-0.410401652479534,593.616969922671,0.681659417605866,-0.0335091546056628,"negligible",1,FALSE
"CentralityBuddy","RandomBuddy","female_dropout_rate","Female dropout rate (%)",300,300,50.8232203471894,50.754795511134,0.0684248360553568,0.134814524157321,-1.11512800954642,1.25197768165713,0.113541746491915,596.99225516521,0.90963923958371,0.00927064478032115,"negligible",1,FALSE
"CentralityBuddy","RandomBuddy","male_dropout_rate","Male dropout rate (%)",300,300,48.0481985384163,47.9385606114231,0.109637926993194,0.228705087501249,-1.15677571702124,1.37605157100763,0.170025818733831,596.869392055058,0.865047445063964,0.0138825499665611,"negligible",1,FALSE
